    A B C D g a e p
1   3 3 1 2 1 2 4 3
2   3 2 3 2 1 4 2 3
3   3 3 1 3 1 3 8 1
4   3 2 2 3 2 2 6 1
5   2 2 2 3 2 4 5 1
6   3 3 1 3 1 3 7 3
7   3 3 1 2 2 1 4 3
8   2 3 1 2 2 2 8 3
9   2 3 2 3 2 5 7 1
10  3 3 3 3 2 4 5 3
11  5 5 1 1 2 5 8 3
12  3 3 1 2 1 5 5 3
13  2 1 2 4 1 2 4 1
14  3 4 2 2 1 6 7 1
15  2 1 4 1 1 5 8 1
16  4 5 1 1 2 4 5 3
17  3 2 2 4 2 1 4 3
18  4 4 1 4 2 5 8 1
19  3 4 1 2 1 2 6 1
20  2 5 1 2 1 2 4 3
21  5 4 1 1 2 4 5 3
22  4 4 1 4 2 2 5 3
23  5 5 1 3 1 2 6 1
24  5 4 2 3 1 2 8 2
25  4 2 1 3 2 4 7 1
26  4 4 1 3 2 5 8 2
27  3 4 1 3 1 2 4 3
28  5 5 1 1 1 4 8 1
29  2 3 2 3 1 5 3 3
30  3 2 2 4 2 3 8 1
31  2 1 3 5 2 5 6 1
32  2 4 2 4 2 5 8 1
33  2 3 2 4 2 5 5 1
34  3 4 4 3 2 5 5 3
35  4 4 2 3 1 3 6 3
36  3 4 1 2 2 3 5 1
37  3 3 1 1 2 6 1 1
38  4 5 1 1 2 4 7 2
39  2 2 2 3 2 2 8 1
40  4 4 2 3 2 4 5 2
41  4 4 2 4 2 4 5 1
42  1 1 1 1 2 5 7 1
43  4 5 1 1 2 3 5 3
44  2 2 3 3 2 6 8 1
45  2 3 1 2 1 5 8 1
46  4 4 1 2 2 1 4 3
47  4 4 1 3 2 5 8 3
48  1 1 1 1 1 5 2 3
49  3 4 2 3 1 4 4 3
50  3 3 1 3 1 1 4 3
51  2 2 1 1 2 2 6 1
52  4 3 2 4 2 5 4 3
53  3 2 2 2 1 4 1 1
54  2 5 1 3 2 5 5 1
55  5 5 1 3 2 2 8 1
56  3 5 1 1 2 2 7 3
57  5 5 1 1 2 3 3 1
58  3 2 1 3 1 6 8 1
59  3 4 2 2 2 5 8 1
60  4 3 2 2 2 4 5 1
61  5 5 1 1 2 1 2 3
62  1 2 4 5 2 1 2 3
