            SA      A     NN      D     SD
ARm     12.611 57.080  8.407 19.690  2.212
ATm     40.077 32.563 12.909 10.790  3.661
AUm     17.353 48.529 15.000 12.353  6.765
BGm     13.285 40.338 21.739 19.807  4.831
CAm     23.396 48.868 15.660  9.811  2.264
CHm     32.901 55.267  5.024  5.673  1.135
CLm     10.169 50.678 21.017 15.932  2.203
CNm      1.082 18.557 15.344 45.836 19.180
CZm     14.543 26.512 32.046 14.801 12.098
DEm     35.271 39.535 11.240 10.853  3.101
DWm     33.449 45.061  6.412 12.132  2.946
DKm     85.486  6.676  2.758  0.871  4.209
FIm     44.332 41.093  6.275  5.263  3.036
FRm     44.351 31.851 12.500  6.611  4.688
GBm     17.742 48.387 21.198  9.908  2.765
HRm     16.703 38.178 19.957 14.751 10.412
IEm     20.567 48.463 12.293 13.475  5.201
ILm     12.879 36.553 11.932 20.644 17.992
INm      8.561 16.087 13.735 42.333 19.285
ISm     31.291 57.616  7.450  2.980  0.662
JPm     24.609 19.141 23.438 10.742 22.070
KRm      4.065 19.512 15.935 31.220 29.268
LTm      3.664 26.078 41.164 23.276  5.819
LVm     12.776 37.838 25.553 21.867  1.966
MXm     18.961 35.112 16.011 26.545  3.371
NOm     27.811 52.071 10.503  7.101  2.515
PHm     11.745 25.336 19.631 28.691 14.597
PLm     18.327 51.594 11.554 13.944  4.582
RUm     11.287 33.465 24.158 23.366  7.723
SEm     44.043 35.106 12.979  4.894  2.979
SIm     21.739 50.217 13.913 11.957  2.174
SKm      8.982 18.563 27.345 26.547 18.563
TRm      5.138  9.486 14.097 23.057 48.221
TWm      3.725 47.373  8.214 32.856  7.832
USm     11.438 50.780 10.745 18.024  9.012
VEm     10.846 50.325 13.883 22.126  2.820
ZAm      6.244 22.759 10.977 37.261 22.759
ARf     16.306 54.224  7.859 19.450  2.161
ATf     42.155 36.133 11.886  8.399  1.426
AUf     23.461 49.710 12.427  9.408  4.994
BGf     13.933 35.273 21.164 23.633  5.996
CAf     30.899 39.326 16.573 11.798  1.404
CHf     34.634 51.870  5.691  5.854  1.951
CLf      9.015 51.048 20.650 17.086  2.201
CNf      1.282 14.637 12.073 49.608 22.400
CZf     14.448 26.625 32.508 15.893 10.526
DEf     40.893 37.457  8.591  5.842  7.216
DWf     40.735 39.900  6.177  9.015  4.174
DKf     86.704  4.809  2.829  0.990  4.668
FIf     50.309 33.025  7.407  3.858  5.401
FRf     53.426 27.345  8.649  5.722  4.857
GBf     20.559 50.499 17.964  9.381  1.597
HRf     19.849 34.972 19.471 16.824  8.885
IEf     28.158 46.711 11.579  9.605  3.947
ILf     14.675 38.427 11.649 16.793 18.457
INf      5.882 13.603  9.007 51.838 19.669
ISf     37.057 52.128  6.206  2.660  1.950
JPf     23.391 19.152 25.275 11.460 20.722
KRf      3.747 17.313 16.279 30.362 32.300
LTf      1.682 20.489 42.202 28.899  6.728
LVf     10.554 32.872 23.529 26.298  6.747
MXf     18.950 33.547 15.109 26.248  6.146
NOf     36.190 47.075  8.980  5.306  2.449
PHf     10.870 23.077 16.388 32.776 16.890
PLf     15.763 47.797  7.288 22.203  6.949
RUf     10.256 23.825 25.748 27.564 12.607
SEf     53.571 35.357  7.679  1.964  1.429
SIf     24.138 49.002 11.978 11.797  3.085
SKf     11.824 16.723 24.155 24.155 23.142
TRf      3.810  8.690 13.452 26.190 47.857
TWf      3.777 40.159 11.431 36.879  7.753
USf      8.947 41.847 16.017 22.367 10.823
VEf     13.469 49.262 12.915 21.956  2.399
ZAf      5.639 19.475 11.213 36.328 27.344
