              SA      A     NN        D      SD
    ARm    6.532 20.270 18.919   47.523   6.757
    ATm   12.232 25.107 25.751   15.236  21.674
    AUm    5.247 30.135 37.031   21.589   5.997
    BGm   21.282 37.692 29.744    9.487   1.795
    CAm    7.804 33.394 38.294   16.334   4.174
    CHm    8.163 25.340 36.735   21.939   7.823
    CLm    3.741 28.231 26.190   35.034   6.803
    CNm    9.707 47.108 21.310   19.481   2.394
    CZm   24.801 29.841 29.178   10.212   5.968
    DEm   11.864 23.729 29.661   20.763  13.983
    DWm   10.208 26.654 30.057   20.416  12.665
    DKm    6.995 13.514 30.366   10.811  38.315
    FIm    7.675 27.314 32.957   20.767  11.287
    FRm    7.778 15.926 33.580   14.938  27.778
    GBm    5.450 24.408 44.076   20.616   5.450
    HRm   13.556 32.000 20.889   23.333  10.222
    IEm    8.393 29.736 33.094   21.823   6.954
    ILm   16.534 37.849 22.709   19.721   3.187
    INm   18.034 38.197 23.404   13.880   6.484
    ISm    5.724 16.330 37.879   28.451  11.616
    JPm   13.619 23.541 38.521    5.642  18.677
    KRm   26.023 37.152 23.077   10.638   3.110
    LTm   14.159 35.841 32.743   15.708   1.549
    LVm   15.539 28.321 27.318   20.050   8.772
    MXm   13.681 20.874 27.362   33.286   4.795
    NOm    3.404 16.207 43.112   26.094  11.183
    PHm   44.108 29.461 15.320    8.081   3.030
    PLm   12.607 39.103 27.137   17.735   3.419
    RUm   31.610 40.954 18.688    7.555   1.193
    SEm    3.883 16.505 41.505   19.175  18.932
    SIm    7.870 23.611 28.009   25.694  14.815
    SKm   20.335 30.818 34.382    8.805   5.660
    TRm   39.919 22.984 17.742   14.919   4.435
    TWm    5.222 32.689 18.956   39.942   3.191
    USm   10.469 34.657 28.700   22.563   3.610
    VEm    5.593 29.978 23.266   33.781   7.383
    ZAm   16.086 32.377 15.779   26.230   9.529
    ARf    4.563 14.087 21.429   50.000   9.921
    ATf    9.866 23.746 21.572   19.398  25.418
    AUf    3.230 17.464 38.995   29.067  11.244
    BGf   18.704 32.963 30.185   16.481   1.667
    CAf    5.105 24.024 39.039   26.727   5.105
    CHf    6.891 18.487 35.294   26.891  12.437
    CLf    3.404 17.766 25.638   44.787   8.404
    CNf    8.924 41.166 21.878   25.333   2.699
    CZf   21.008 29.582 28.725   11.790   8.896
    DEf   10.112 17.228 29.963   21.348  21.348
    DWf    7.609 19.384 29.167   24.275  19.565
    DKf    5.199 10.550 24.312    9.786  50.153
    FIf    4.340 19.444 34.375   24.132  17.708
    FRf    4.218  9.660 29.932   15.510  40.680
    GBf    3.644 14.372 42.510   31.579   7.895
    HRf   11.175 25.626 24.085   27.553  11.561
    IEf    3.351 15.550 33.512   31.635  15.952
    ILf   15.714 34.286 21.111   23.810   5.079
    INf   18.810 35.125 23.992   15.739   6.334
    ISf    1.261  8.829 35.315   36.396  18.198
    JPf    7.656 16.250 41.094    5.781  29.219
    KRf   21.705 30.103 29.845   14.212   4.134
    LTf   12.131 33.126 35.614   16.019   3.110
    LVf   16.901 25.000 25.352   23.768   8.979
    MXf   10.180 16.495 27.448   39.433   6.443
    NOf    2.890 10.405 37.428   29.046  20.231
    PHf   40.672 25.882 17.983   12.101   3.361
    PLf   11.439 29.889 29.705   25.092   3.875
    RUf   29.380 39.850 18.910    8.974   2.885
    SEf    3.030  9.091 39.798   17.576  30.505
    SIf    3.263 20.729 25.528   34.165  16.315
    SKf   19.081 25.795 33.039   13.428   8.657
    TRf   30.504 23.370 21.648   17.343   7.134
    TWf    3.210 21.765 20.562   51.153   3.310
    USf    6.335 23.529 33.786   30.468   5.882
    VEf    5.660 26.981 21.321   38.679   7.358
    ZAf   16.298 25.553 17.975   28.437  11.737
